,f,Omega_lim
0,2.99792e-05,4.894918473777881e-12
1,3.00003e-05,4.867444377349936e-12
2,3.00214e-05,4.840143641033792e-12
3,3.00425e-05,4.813015050244395e-12
4,3.00636e-05,4.78605739975067e-12
5,3.00848e-05,4.75914293894808e-12
6,3.01059e-05,4.7325243864164005e-12
7,3.01271e-05,4.70594824387431e-12
8,3.01483e-05,4.679539880748102e-12
9,3.01694e-05,4.65342151358645e-12
10,3.01907e-05,4.627221797470446e-12
11,3.02119e-05,4.601309752261522e-12
12,3.02331e-05,4.575560836202012e-12
13,3.02544e-05,4.549853598005695e-12
14,3.02756e-05,4.524428284231612e-12
15,3.02969e-05,4.499043899117613e-12
16,3.03182e-05,4.473819623656097e-12
17,3.03395e-05,4.448754336547911e-12
18,3.03609e-05,4.4237303595188164e-12
19,3.03822e-05,4.398980453101854e-12
20,3.04036e-05,4.374271117048849e-12
21,3.04249e-05,4.349832188332856e-12
22,3.04463e-05,4.325433103656827e-12
23,3.04677e-05,4.301187877860156e-12
24,3.04891e-05,4.2770954336723245e-12
25,3.05106e-05,4.2530431839946824e-12
26,3.0532e-05,4.2292538058115805e-12
27,3.05535e-05,4.205503905227251e-12
28,3.0575e-05,4.1819039411860295e-12
29,3.05965e-05,4.158452862679926e-12
30,3.0618e-05,4.1351496267992014e-12
31,3.06395e-05,4.1119931986644e-12
32,3.0661e-05,4.08898255135889e-12
33,3.06826e-05,4.0660106495458055e-12
34,3.07041e-05,4.043289180924205e-12
35,3.07257e-05,4.020605769460513e-12
36,3.07473e-05,3.998065421839495e-12
37,3.07689e-05,3.9756671362069314e-12
38,3.07906e-05,3.953307202267507e-12
39,3.08122e-05,3.931190712074984e-12
40,3.08339e-05,3.909111894585461e-12
41,3.08555e-05,3.887273266113291e-12
42,3.08772e-05,3.8654716435693794e-12
43,3.08989e-05,3.843807482374084e-12
44,3.09207e-05,3.82218092886079e-12
45,3.09424e-05,3.80078943319588e-12
46,3.09642e-05,3.7794348816953135e-12
47,3.09859e-05,3.758312243809007e-12
48,3.10077e-05,3.737225898485739e-12
49,3.10295e-05,3.71627255501619e-12
50,3.10513e-05,3.695451281933998e-12
51,3.10731e-05,3.674761154943543e-12
52,3.1095e-05,3.654107244057072e-12
53,3.11168e-05,3.6336772558650954e-12
54,3.11387e-05,3.6132828471685444e-12
55,3.11606e-05,3.5930171222195187e-12
56,3.11825e-05,3.572879179469128e-12
57,3.12044e-05,3.552868124311443e-12
58,3.12264e-05,3.532892557317887e-12
59,3.12483e-05,3.513133190318189e-12
60,3.12703e-05,3.4934086897029732e-12
61,3.12923e-05,3.4738086878773722e-12
62,3.13143e-05,3.4543323123178773e-12
63,3.13363e-05,3.4349786972226664e-12
64,3.13583e-05,3.415746983455129e-12
65,3.13803e-05,3.396636318487946e-12
66,3.14024e-05,3.377559809212137e-12
67,3.14245e-05,3.358603747045537e-12
68,3.14466e-05,3.339767287591199e-12
69,3.14687e-05,3.321049592959252e-12
70,3.14908e-05,3.302449831712221e-12
71,3.15129e-05,3.2839671788108637e-12
72,3.15351e-05,3.2655179728976397e-12
73,3.15573e-05,3.247185287949141e-12
74,3.15794e-05,3.22905010711496e-12
75,3.16016e-05,3.2109475033220627e-12
76,3.16239e-05,3.1928782191826797e-12
77,3.16461e-05,3.1750035096660264e-12
78,3.16683e-05,3.1572412979992245e-12
79,3.16906e-05,3.139511542834436e-12
80,3.17129e-05,3.1218937173734027e-12
81,3.17352e-05,3.1043870370296854e-12
82,3.17575e-05,3.086990723262215e-12
83,3.17798e-05,3.0697040035245564e-12
84,3.18021e-05,3.052526111214539e-12
85,3.18245e-05,3.0353799815718546e-12
86,3.18469e-05,3.018342124984646e-12
87,3.18692e-05,3.0014871263907733e-12
88,3.18917e-05,2.984588200228662e-12
89,3.19141e-05,2.9678706312639693e-12
90,3.19365e-05,2.951258333665068e-12
91,3.1959e-05,2.934677109308577e-12
92,3.19814e-05,2.9182736137660487e-12
93,3.20039e-05,2.90190065547603e-12
94,3.20264e-05,2.8856309676745328e-12
95,3.20489e-05,2.8694638271282545e-12
96,3.20714e-05,2.8533985161714956e-12
97,3.2094e-05,2.837363595336488e-12
98,3.21165e-05,2.821500257299821e-12
99,3.21391e-05,2.8056667866215155e-12
100,3.21617e-05,2.7899332054830364e-12
101,3.21843e-05,2.774298814176219e-12
102,3.22069e-05,2.7587629183805727e-12
103,3.22296e-05,2.7432567353151602e-12
104,3.22522e-05,2.727916197141121e-12
105,3.22749e-05,2.712604861955642e-12
106,3.22976e-05,2.697390141402446e-12
107,3.23203e-05,2.6822713585796474e-12
108,3.2343e-05,2.6672478417984573e-12
109,3.23658e-05,2.65225336669151e-12
110,3.23885e-05,2.6374187999298367e-12
111,3.24113e-05,2.6226127779132448e-12
112,3.24341e-05,2.6079001986080803e-12
113,3.24569e-05,2.5932804072192845e-12
114,3.24797e-05,2.578752753995526e-12
115,3.25025e-05,2.5643165941868866e-12
116,3.25254e-05,2.5499085691714798e-12
117,3.25482e-05,2.5356538760445468e-12
118,3.25711e-05,2.5214268376587725e-12
119,3.2594e-05,2.5075337099052205e-12
120,3.26169e-05,2.4952360356223803e-12
121,3.26398e-05,2.4830072403448534e-12
122,3.26628e-05,2.470793937862235e-12
123,3.26858e-05,2.4586492434204707e-12
124,3.27087e-05,2.446625083409921e-12
125,3.27317e-05,2.4346160146458904e-12
126,3.27547e-05,2.4226742650371183e-12
127,3.27778e-05,2.4107479259764936e-12
128,3.28008e-05,2.398939833013719e-12
129,3.28239e-05,2.3871468848095722e-12
130,3.28469e-05,2.3754707679172905e-12
131,3.287e-05,2.3638095345069014e-12
132,3.28931e-05,2.3522136783493353e-12
133,3.29162e-05,2.3406827873878476e-12
134,3.29394e-05,2.3291669543811606e-12
135,3.29625e-05,2.3177650459792395e-12
136,3.29857e-05,2.3063779371048703e-12
137,3.30089e-05,2.295054719964272e-12
138,3.30321e-05,2.283794991540048e-12
139,3.30553e-05,2.2725983516374336e-12
140,3.30786e-05,2.2614165468249947e-12
141,3.31018e-05,2.2503451622327536e-12
142,3.31251e-05,2.239288359375035e-12
143,3.31484e-05,2.228639680247229e-12
144,3.31717e-05,2.2192636992546255e-12
145,3.3195e-05,2.2099337053457223e-12
146,3.32183e-05,2.200649440922408e-12
147,3.32417e-05,2.191371096180221e-12
148,3.3265e-05,2.1821777179387874e-12
149,3.32884e-05,2.1729901379640722e-12
150,3.33118e-05,2.1638476556698442e-12
151,3.33352e-05,2.1547500182458367e-12
152,3.33587e-05,2.1456583815881247e-12
153,3.33821e-05,2.136649870806523e-12
154,3.34056e-05,2.1276472397215585e-12
155,3.34291e-05,2.11868883155256e-12
156,3.34526e-05,2.109774398207684e-12
157,3.34761e-05,2.1009036931597557e-12
158,3.34996e-05,2.09207647143533e-12
159,3.35232e-05,2.0832552030031267e-12
160,3.35467e-05,2.0745144016214755e-12
161,3.35703e-05,2.065779434897932e-12
162,3.35939e-05,2.0570873475141007e-12
163,3.36175e-05,2.0484378990766953e-12
164,3.36412e-05,2.039794470036967e-12
165,3.36648e-05,2.0312297625149885e-12
166,3.36885e-05,2.0226709561983936e-12
167,3.37122e-05,2.0141541943788875e-12
168,3.37359e-05,2.0056792411758218e-12
169,3.37596e-05,1.997245862196274e-12
170,3.37833e-05,1.9888538245246375e-12
171,3.38071e-05,1.980467747499505e-12
172,3.38308e-05,1.9721578715581483e-12
173,3.38546e-05,1.963853840530453e-12
174,3.38784e-05,1.9555905736424267e-12
175,3.39022e-05,1.947367842357869e-12
176,3.3926e-05,1.9391854195809747e-12
177,3.39499e-05,1.9310089523788265e-12
178,3.39738e-05,1.9228726784773653e-12
179,3.39976e-05,1.9150570294688085e-12
180,3.40215e-05,1.9083398650602567e-12
181,3.40455e-05,1.9016230258841978e-12
182,3.40694e-05,1.8949623465738207e-12
183,3.40933e-05,1.8883296435242757e-12
