,f,Omega_lim,Omega_noise
0,1e-05,2.2569654615833805e-07,2.672400691380686e-06
1,1.0057759593016343e-05,2.1553356288830916e-07,2.6266454562127998e-06
2,1.0115852803091209e-05,2.0582821280188774e-07,2.5816738645903738e-06
3,1.0174281557183189e-05,1.9655988894487097e-07,2.5374724937232415e-06
4,1.0233047793380827e-05,1.8770891228214742e-07,2.494028150744402e-06
5,1.0292153460967076e-05,1.7925648991401555e-07,2.4513278687714315e-06
6,1.0351600520483776e-05,1.7118467517405237e-07,2.409358903035597e-06
7,1.0411390943796867e-05,1.6347632952369996e-07,2.368108727077039e-06
8,1.0471526714161644e-05,1.561150861627601e-07,2.3275650290053436e-06
9,1.0532009826288597e-05,1.4908531527846115e-07,2.2877157078240416e-06
10,1.0592842286409654e-05,1.4237209085933767e-07,2.2485488698180465e-06
11,1.0654026112344566e-05,1.359611590034867e-07,2.210052825003127e-06
12,1.0715563333568019e-05,1.298389076538503e-07,2.172216083635991e-06
13,1.0777455991276773e-05,1.2399233769633413e-07,2.13502735278436e-06
14,1.0839706138457544e-05,1.1840903535932988e-07,2.0984755329556006e-06
15,1.090231583995495e-05,1.1307714585609891e-07,2.0625497147832762e-06
16,1.0965287172540072e-05,1.0798534821400503e-07,2.027239175770346e-06
17,1.1028622224979398e-05,1.0312283123717327e-07,1.9925333770881527e-06
18,1.1092323098103957e-05,9.847927055155342e-08,1.9584219604303603e-06
19,1.1156391904879185e-05,9.40448066836042e-08,1.9248947449205986e-06
20,1.1220830770474828e-05,8.98100241261089e-08,1.8919417240732762e-06
21,1.1285641832335617e-05,8.576593134661985e-08,1.859553062806255e-06
22,1.1350827240252012e-05,8.199675144671499e-08,1.827719094504885e-06
23,1.1416389156431567e-05,7.875676928217701e-08,1.796430318136203e-06
24,1.1482329755570737e-05,7.564481029223087e-08,1.7656773954125666e-06
25,1.1548651224926835e-05,7.26558158276641e-08,1.7354511480039999e-06
26,1.1615355764390784e-05,6.978492712441285e-08,1.7057425547980946e-06
27,1.168244558655991e-05,6.70274774053994e-08,1.6765427492070457e-06
28,1.1749922916811414e-05,6.437898429444249e-08,1.6478430165206886e-06
29,1.1817789993376258e-05,6.183514252992227e-08,1.6196347913048792e-06
30,1.1886049067413238e-05,5.967379169910538e-08,1.5919096548445467e-06
31,1.1954702403083847e-05,5.764692288986841e-08,1.5646593326303965e-06
32,1.2023752277627187e-05,5.568889832620262e-08,1.5378756918888109e-06
33,1.2093200981435695e-05,5.379737965738243e-08,1.5115507391539247e-06
34,1.2163050818130954e-05,5.19701079566659e-08,1.4856766178814138e-06
35,1.2233304104640165e-05,5.020490102359303e-08,1.4602456061030797e-06
36,1.2303963171273082e-05,4.849965077791321e-08,1.4352501141216e-06
37,1.2375030361799139e-05,4.6852320742036256e-08,1.4106826822448653e-06
38,1.2446508033525381e-05,4.526094360898535e-08,1.386535978558986e-06
39,1.2518398557374464e-05,4.372361889296552e-08,1.362802796739594e-06
40,1.2590704317963499e-05,4.223851065972342e-08,1.3394760539004842e-06
