,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,43,-7.49260465082946,73,2.8448391587948745,True,0.017748385608092103,284.0059082328223,267.0315113066819,112.47616173173633,147.33488230898178,266.9412794227546,0.00012867887309548942,1123817.311706645,0.036726032777750627,0.5865377566376448,2.0447388482965394e-26
1,4,7.349607814524827,13,3.0576967456882187,True,-1.8277351266599342,180.39899803184827,159.9305183468991,41.2,302.10972626736304,153.70972626736304,0.0050404494653796626,36683.464126120416,0.38576962862468417,0.6323497600544636,2.428034599424738e-11
2,23,-4.417233596379939,73,-0.01296981205191905,,,,,,,,,,,,
3,26,6.543624863284329,27,-0.8131881709378384,True,-0.9951957121378502,260.7595748619875,253.30003816094927,75.53860028145562,175.86316016887338,252.7122799437089,0.0007340473887598424,190704.5830491735,0.0964746521776556,0.5990443117571693,1.9010932129143942e-19
4,13,6.053453968242238,26,-5.080642413083469,,,,,,,,,,,,
5,48,-4.337728574023167,59,-1.0098746358005144,,,,,,,,,,,,
6,61,-9.830653166211196,96,0.49428107203501703,,,,,,,,,,,,
7,15,-7.820170763789022,81,-0.24611823544650235,,,,,,,,,,,,
8,2,-1.7142224341092955,47,1.6785539474858275,True,-1.0321010758499822,260.95640335406415,252.61962392564305,75.27107637349926,175.12264582409955,252.02578472530016,0.0007502086026769377,179466.87596601385,0.09709353873140456,0.5992770552036297,2.8015051819474374e-19
9,37,7.604951512283744,83,2.927895275245053,True,-0.8750873224593423,186.2677383903288,167.68070252803176,40.94235544148585,188.84235544148586,161.85764455851415,0.004564896796891987,11692.879691780106,0.36618766918484663,0.629829501226836,3.5775183598822004e-09
10,14,5.566938692438178,92,0.4051595788169866,True,-1.728069662212019,139.28244375083406,,,,,,,,,
11,23,-8.771220651322372,53,-4.284207978452834,,,,,,,,,,,,
12,27,7.270173525006946,94,-5.662180110289247,,,,,,,,,,,,
13,8,9.942277501093997,88,-8.550699518961896,,,,,,,,,,,,
14,62,5.070966005805765,83,1.5427811834923766,True,-1.5473410133134973,253.01334564055236,,,,,,,,,
15,13,-8.343746509881939,33,-1.7700807935049028,,,,,,,,,,,,
16,39,-8.86565866477737,47,-5.743189420953838,,,,,,,,,,,,
17,53,8.380957124548864,64,1.9938336272887938,True,-1.1833813670345634,257.61860734939546,250.48870308855706,68.57515070655407,181.88757535327704,249.70414154890767,0.0009495301552471996,124503.0521629713,0.11215036634442879,0.601956495294808,4.75150938197257e-18
18,84,4.627991959705884,94,-4.56279028329994,,,,,,,,,,,,
19,15,-7.860973014132893,46,-0.5675244411092777,,,,,,,,,,,,
