,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1
0,30,9.0690473108607,91,-2.161920293228084,,,,,,,,,,,,,,,,,,,,,
1,12,5.842843632254834,57,2.132536216377293,True,-0.07777460925343789,151.73736836142766,,,,,,,,,,,,,,,,,,
2,16,6.7325213934890655,31,-0.8429448366720944,True,-1.5957657074343314,,,,,,,,,,,,,,,,,,,
3,51,-9.898491030788346,55,-7.738638388348091,,,,,,,,,,,,,,,,,,,,,
4,47,4.548745100638332,77,-4.252532329420909,,,,,,,,,,,,,,,,,,,,,
5,28,-6.795307290951644,88,-6.6955794005775715,,,,,,,,,,,,,,,,,,,,,
6,1,-5.60568797502623,91,3.9971864932874386,True,-1.142935738667531,257.6860045886594,250.24301901920225,75.14424125559408,172.34654475335643,249.6511517488812,0.0007873286183115135,161626.4504972071,0.09736444656488208,0.5998019375707442,5.639940753737956e-19,,,,,,,,,
7,30,-5.918342141360391,90,5.464392763070736,True,-0.9547198192955789,259.7106066640117,,,,,,,,,,,,,,,,,,
8,72,-7.182839761908593,92,-3.008207155181955,,,,,,,,,,,,,,,,,,,,,
9,1,5.878206660163329,69,2.4241115746346154,True,-1.0801906871325566,260.25228126677393,251.567780522132,75.18672209225835,173.85203325535502,250.98265558154833,0.0007661432743851362,189059.35247777068,0.09657951491607564,0.5995039939588243,2.3114628313850403e-19,,,,,,,,,
10,35,5.967291896883411,76,-0.7380260773268859,True,-3.7142909656433734,,,,,,,,,,,,,,,,,,,
11,22,-8.63868466584525,56,-1.8645914046306622,,,,,,,,,,,,,,,,,,,,,
12,48,3.9724660004023615,76,0.5143626913981763,True,-1.5719566945860464,253.1269638549331,243.62994154893335,50.7146374635664,242.7,241.06178751214455,0.002807034450178561,38667.47489959275,0.2053923634520533,0.6189629715444392,1.567336271860936e-13,,,,,,,,,
13,56,8.280475999084803,64,7.299688680788744,True,-1.1409523116382585,259.21680057482536,251.10308565198974,71.95349299325277,177.81209579595168,250.42930140134945,0.0008559168553669206,153599.1330430873,0.10373006646102835,0.6007388862900168,1.045109786970607e-18,,,,,,,,,
14,10,6.488346853978069,50,3.4807180827602746,True,-1.1117705216247187,260.1654774164574,257.85001008692626,77.05303858036363,1019.1306077160727,250.7693922839273,0.0009269515674910534,1085266.246933628,0.3437963464908691,0.6016687840174167,1.126717522077135e-21,240.4076306854606,1042.3268329159878,1123.663416457994,239.36829177100307,2.9599126064940244e-05,80282.53037107446,0.1318020613931972,0.581775303839072,7.90435576380324e-22
15,88,-3.5025430558328825,97,-0.4723266183296033,,,,,,,,,,,,,,,,,,,,,
16,17,-6.416074522128474,62,5.6995563882929225,True,-0.9579069577017075,262.32565668958574,252.72857363307014,76.90019463242746,172.24011677945649,252.21996107351453,0.0006917882247263375,253096.4837175734,0.08982570822870278,0.5984228115003148,3.425199052491905e-20,,,,,,,,,
17,33,-6.218464423086225,97,-6.193760412357177,,,,,,,,,,,,,,,,,,,,,
18,39,6.015754680567866,81,3.5214855957182305,True,-0.5498773298923058,142.76017139705573,142.18752199317615,14.6,59.5,140.85104173893637,0.005346291896084765,111605.46646424853,0.19298337002767402,0.6339010309778016,2.4165827091156074e-14,,,,,,,,,
19,67,9.368981239779178,76,6.9294214540842844,True,-1.1596450358182269,260.7493477500739,250.63418583525132,72.41794114784497,176.95076468870698,249.916411770431,0.0008575533370165172,122321.01557829692,0.10719083428719914,0.6007607534936416,3.4819692374757905e-18,,,,,,,,,
