,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1,Tc_2,phi_false_2,phi_true_2,Tn_2,alpha_2,beta_2,vw_2,vJ_2,SNR_2
0,42,2.117331833459101,45,-0.16301545410789586,True,-1.0166017324904995,261.6218062152681,252.89100197631325,75.5761430824775,174.66568584948652,252.3447713835045,0.0007357264090709042,234090.39996443386,0.09305345235628487,0.5990686152770397,6.490111899326864e-20,,,,,,,,,,,,,,,,,,
1,47,5.497776778903535,65,-4.863439433506502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,72,-7.484563597560361,95,5.2734622116839684,True,-0.09598378321988474,280.88401158359994,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,8.382722693757934,28,-0.16741264900663744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,31,6.110732390145831,83,3.3931854849512373,True,1.6256934058228867,212.19364647260625,,,,,,,,,,119.94223361664156,132.3709105571242,208.7,110.6290894428758,0.0009839227428593454,7320.906100027509,0.5372263971470399,0.6023879495651634,1.3395946132969744e-08,152.85124993985707,56.87260235022102,127.8,136.42739764977898,0.0011240127337678871,1696.1737077595897,1.0,0.6040684640758534,9.395291732102422e-07
5,89,-4.501524793026624,90,-3.5384746796482025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,35,9.73546799927156,45,0.6170032188603471,True,-1.1099746527704717,258.54421272189444,251.20888911391188,67.57251579442764,183.2862578972138,250.3712473675954,0.0009325576044881251,109982.16920548555,0.11578703375499619,0.601740558975447,8.773151415948153e-18,,,,,,,,,,,,,,,,,,
7,52,-6.658756550831065,73,-5.408394592020025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12,-2.338015545845968,63,-1.7211697905709595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,73,-8.645042555662245,89,2.0661778421539374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,56,9.954087534066176,82,8.066792755300686,True,-1.8546999632676797,256.6082520306407,250.7573556163846,64.74080890146344,335.8,246.23979777463416,0.0014732925240798563,35013.674617489305,0.2720268890588884,0.6078293600404431,6.61008320326381e-14,,,,,,,,,,,,,,,,,,
11,36,-9.025094441981807,50,0.3299300384118595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,8,7.862010983177544,88,-5.408397249250456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,46,-5.374929147446402,62,-2.6524814062241013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,13,-4.171420197023172,61,-0.08682437522043429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,88,-6.255278074800435,90,-1.452787689143193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,13,1.0827927183495802,49,0.6202075090516246,True,-0.9783534504623362,192.57015431520458,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,10,6.802427453280892,27,-0.5816300784508481,True,1.485711419679166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,38,-2.7953146173377323,44,-1.9126298565741173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,47,-6.786022266035465,71,-4.518705752653891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
