,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_2,phi_false_2,phi_true_2,Tn_2,alpha_2,beta_2,vw_2,vJ_2,SNR_2
0,18,-2.3601650878793556,35,5.8167414834842965,51,9.423359254847107,True,-1.326620275781176,257.1973307912298,250.2092091773143,68.69334655082831,184.21600793049697,249.36133068983435,0.0010256963160618841,104474.17576597017,0.11656165263905463,0.60290150653218,1.5495912413559905e-17,,,,,,,,,
1,4,-3.5614920324643435,15,9.111851449364671,61,-9.12688611095975,,,,,,,,,,,,,,,,,,,,,
2,2,-4.037174054991908,28,-7.01785957273795,41,8.403450669064863,True,-0.5351583826596916,267.75871590686404,258.16270374967934,91.77032104731558,161.42219262838935,257.8259357905369,0.00038410699338655964,248138.7851274259,0.07226848210998578,0.5931292822201754,3.931830214103505e-21,,,,,,,,,
3,57,1.6944602002319886,84,4.1626816056131695,97,-7.861384146033055,,,,,,,,,,,,,,,,,,,,,
4,67,3.7514544340113005,89,5.166560673701625,97,6.896289673905407,True,-1.3855672675556734,255.99014075371343,248.36001463708885,70.151784149248,177.613838111936,247.66205396268802,0.0010016292279410835,117822.32733691236,0.10608094688398251,0.6026069990349505,6.771006126722514e-18,,,,,,,,,
5,18,-1.8246187918871932,60,-2.2829367101502314,67,7.705232012889486,True,-0.9791451997360905,261.3821756092618,252.62176618313038,77.99393079173859,171.45635847504315,252.0812138416523,0.0006824250674823569,196558.19040082948,0.09260260044243439,0.5982824583311472,1.2231330937305072e-19,,,,,,,,,
6,16,-0.6585538061464451,35,0.7687915280233497,92,2.636038090117978,True,-1.2204000955313656,257.32206537448343,,,,,,,,,,,,,,,,,,
7,39,0.385599108479898,55,1.3466603798851224,95,-9.854315908029768,,,,,,,,,,,,,,,,,,,,,
8,2,-0.4846597746972048,57,6.373822225123664,84,7.139888066159212,True,-1.6921985122080436,255.95364569977158,250.59051037472148,66.44139892936283,346.9,246.7646502676593,0.0012882242682807604,40479.50285502087,0.25067947899378,0.6059035955777657,1.7404985365659795e-14,,,,,,,,,
9,3,-2.8918019302255704,73,-6.092132593736692,76,9.301124855387236,True,-1.0069352854756222,259.98599123115594,,,,,,,,,,,,,,,,,,
10,3,1.1476297867249166,37,-3.002306992405961,86,7.096872578194908,True,-0.972789757626306,259.33567594315105,251.83124892450826,77.80911468566272,170.30546881139765,251.29817706286747,0.000681098388865215,182910.11806760522,0.09207705468594457,0.5982624907448234,1.735064286979373e-19,,,,,,,,,
11,48,3.004949247044916,83,-4.941491232854105,84,6.471478901923923,True,-3.9460710676568063,209.02054511726362,,,,,,,,,,150.41843961729484,54.47490239227997,112.8,144.42509760772003,0.0016321772565551396,9465.19842102426,0.4083306042911945,0.6093826402958307,9.564371452069799e-10
12,11,0.022569076881461925,81,-0.39237642014763985,83,6.345630951799873,True,-1.10587249267116,258.2479866865426,251.00954668201763,75.43983666420431,173.28390199852257,250.37203266715915,0.000773819256738181,144215.64907474426,0.10093840592805442,0.5996124364921868,9.99402291512393e-19,,,,,,,,,
13,13,-6.673694580340507,42,6.703173869964786,70,9.91615569523216,True,-1.553881336882292,259.7420137456317,252.49580907763226,68.13713621170334,371.5,248.01571594707417,0.0011529621553112322,111870.85511169679,0.2716856973610745,0.6044017637820515,9.644795686261522e-17,,,,,,,,,
14,6,-0.45188874095759957,35,-0.7938684116413413,48,-8.255532925651776,,,,,,,,,,,,,,,,,,,,,
15,48,4.640002231599308,58,-4.720239508422555,98,8.261044638212852,True,-1.063566468521194,259.08701461859806,250.65986404828894,77.72505857435097,169.51503514461058,250.09498828512983,0.000710180628725478,147429.23302209398,0.09502705144478203,0.5986956661024089,6.1759819685417675e-19,,,,,,,,,
16,26,-0.6612026891299863,55,-3.777636204135126,80,-6.628687893498297,,,,,,,,,,,,,,,,,,,,,
17,30,2.02443084129899,71,-4.063125239237138,75,-8.511552343979094,,,,,,,,,,,,,,,,,,,,,
18,63,-1.2150443433696996,63,-6.818775915922837,65,-9.046822360288122,,,,,,,,,,,,,,,,,,,,,
19,36,-0.9313122988257376,38,2.1752256861164128,68,-8.171192662954962,,,,,,,,,,,,,,,,,,,,,
