,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,15,3.0167512955297475,31,4.966108632107023,36,9.972282839441828,True,-1.167651972633312,258.63384752273646,251.6796468297402,71.56893260116067,180.6813595606964,250.90621347976787,0.0008841011492014267,112205.21824819646,0.11108135291505106,0.6011124949195809,6.1981857621813385e-18
1,67,-3.067010142201787,90,-4.440499380611886,98,-6.430964151180733,,,,,,,,,,,,
2,16,-0.8280616990063052,17,6.823860585773097,71,-8.948516870263605,,,,,,,,,,,,
3,7,1.5486006740719898,36,8.548343885883853,42,-9.433831432209999,,,,,,,,,,,,
4,4,0.9601350283795362,77,8.243422339964543,91,-8.786651828635069,,,,,,,,,,,,
5,5,0.03793928318610362,59,1.3244906327861639,79,-5.706160113591356,,,,,,,,,,,,
6,29,1.0732784476933865,58,2.6862658707470466,68,9.425975207049731,True,-1.1668753537654828,261.6725621252906,250.9365975676973,72.85405173686324,176.95243104211795,250.24918965262736,0.0008502422075808602,136459.29663690034,0.10480624246829175,0.6006628902039801,1.882529538506045e-18
7,18,-0.36563689072433014,56,-1.5032089800931718,80,-9.354651389681294,,,,,,,,,,,,
8,43,-0.893351297653453,44,6.11196241093721,54,7.126179837171545,True,-1.1974077692543288,260.0972388158767,250.83448698689492,70.40582240443527,180.72349344266115,250.05883551911296,0.000920508926312247,114098.51810788337,0.11141730757029235,0.6015860168800045,6.553682370043387e-18
9,41,1.3122295191775617,92,6.875254157433183,97,7.742944433270786,True,-1.2018061216573857,257.25390293291525,249.69313010246555,74.17229968551756,173.20337981131053,249.0655400628965,0.0008301142466097083,145057.11412590498,0.10038247929985651,0.6003911747093552,1.2083091778963987e-18
10,35,5.4213184406944475,49,-9.073321371626196,98,9.427639559561037,True,-0.8257980734881541,261.3499518469953,252.7618457946649,82.3988022847964,165.69928137087783,252.30023954304073,0.0005633863488133176,182405.5464233762,0.08553976338115758,0.5964026189353079,8.492360096378464e-20
11,22,1.4280856158438215,74,1.7939177314438801,84,-8.151731720932105,,,,,,,,,,,,
12,43,-0.9631574445724933,72,6.74107657112339,89,-8.697627526776353,,,,,,,,,,,,
13,45,-3.640849043380281,58,-8.035286161032722,65,9.727362741976073,True,-0.18384732833875145,277.5320398278586,,,,,,,,,
14,54,-5.532306327016345,68,9.68609781718651,77,9.747456185458418,True,-0.9764943325914965,262.0630263214552,252.24739115773318,77.46197937774556,171.75718762664735,251.6476041244509,0.000693499837728306,149498.04294089886,0.09763773975721125,0.5984483615141506,5.540184106681065e-19
15,41,1.4323752478306933,43,-2.3805528255291364,65,3.121753419708215,True,-0.8685157306468032,262.4278732113109,253.81632034491273,80.93080661467286,169.4046452917383,253.27383867706544,0.0006053863455497679,148883.89774312137,0.09258426013201602,0.5970874918174613,3.313742364825059e-19
16,8,-1.7614352514718252,44,-2.1710806253301467,76,-3.2314980048195974,,,,,,,,,,,,
17,16,0.8752246046560899,53,-8.17571587500252,60,9.290516083928779,True,-0.547692691543579,272.42096894874663,,,,,,,,,
18,18,0.8250317801249292,44,-7.24833011773331,84,-9.582119439570869,,,,,,,,,,,,
19,73,5.226466634065854,79,6.81322510831999,85,-9.152792424855704,True,-0.5405921717321686,,,,,,,,,,
