,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,7,-1.414044100802876,10,-5.857855291683776,96,-7.187207884388203,,,,,,,,,,,,
1,52,0.21548958178604138,74,-1.8414411290303825,77,2.691042582181815,True,-1.1560529561934534,258.4441329342377,250.7883256356214,75.4556475915345,173.1933885549207,250.16887048169312,0.0007888719671096186,155864.12115010846,0.09948463134365286,0.5998234785238964,7.031502243855738e-19
2,7,-0.18595711149258953,38,6.154257406192954,54,7.743354655789993,True,-1.454583886694854,255.99648229751307,250.99302543161426,65.69163867655315,350.0,248.74167226468938,0.0011286085901377049,137570.10421661637,0.19142096493240585,0.6041216758417521,1.432058201572749e-17
3,6,-1.6688706950320302,16,1.734868233438105,24,-1.9262585977807856,,,,,,,,,,,,
4,5,-0.3428939989906983,45,1.896787846863667,67,-8.438565672693315,,,,,,,,,,,,
5,55,0.9511405440178962,62,-4.811390440235712,91,7.968197929571442,True,-0.8120743209052951,262.3551796930109,253.3492481910254,83.65382400693825,165.06536800520368,252.91154399826544,0.0005408522110149895,205459.72951922283,0.08316788306716184,0.5960242410119864,3.918016058494546e-20
6,19,4.98692567821835,50,5.959439878620001,74,-7.235952373086545,,,,,,,,,,,,
7,6,-4.95093307362553,39,-5.6947742651027085,53,7.866089925351531,True,-0.6000155633959958,269.61218288597684,257.16643567371807,89.95004027374166,162.36003221899333,256.8099919452517,0.0004162454899066249,270027.7024668538,0.07449599348098868,0.5937665571666301,3.54390045329078e-21
8,5,3.179277182938854,8,-6.709495604485345,58,-9.987181225114213,,,,,,,,,,,,
9,26,1.364865560640073,40,6.879200988437308,85,-8.776565700222381,,,,,,,,,,,,
10,2,-1.9197970255933754,10,2.0089133285641374,98,3.127695690605435,True,-1.1728530076937196,257.4775562687573,249.67378133218241,75.11236636103445,171.76741981662067,249.07752672779313,0.0007981954545128591,155694.85728525836,0.0978179087444813,0.5999531444275572,7.18954273466561e-19
11,13,-1.272494311211343,84,7.415152684386584,95,9.86224888564752,True,-1.2031412705365339,256.7531235812002,249.70621645249378,72.93050091945533,174.8983005516732,249.03389981610894,0.0008598631553178036,131231.91160719324,0.10388377268295747,0.600791580992026,2.3589889582676753e-18
12,1,-2.1551927744572392,8,4.145846152264967,54,5.4242665636141005,True,-1.053560037053967,260.3772585174587,252.31658615181345,75.18675605314375,175.09205363188624,251.70264878937127,0.0007605200151854809,162431.67261207875,0.09879009110245773,0.5994241916790237,4.967683047085964e-19
13,47,-2.016420989817826,59,-5.828002572020781,63,-6.380021439855734,,,,,,,,,,,,
14,7,-7.155188641061536,8,7.736825460342409,27,-8.199108604079244,,,,,,,,,,,,
15,3,-0.35551794256077507,10,4.066432390388012,72,-9.601590900129782,,,,,,,,,,,,
16,9,-7.514033045656956,10,-7.935045589513477,39,8.25217023413073,True,-0.8920219961678164,261.2984656648128,253.8847153542621,78.06177253772879,172.8808862688644,253.30637124371188,0.000660408784816509,167946.85871425102,0.09562178916420758,0.5979484410444311,2.528548682222227e-19
17,45,2.1797056462937103,59,2.988280155076783,60,3.6659892429300722,True,-1.2065541909154576,258.9378885759262,,,,,,,,,
18,28,-0.6625165857749575,29,1.1689622442573437,90,3.066009808356469,True,-1.1711034025543248,257.99130884200446,,,,,,,,,
19,47,0.2592211638635167,53,-1.449561630206004,81,-5.30194459004395,,,,,,,,,,,,
