,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1,Tc_2,phi_false_2,phi_true_2,Tn_2,alpha_2,beta_2,vw_2,vJ_2,SNR_2
0,46,3.488949599863558,83,8.77973435149313,94,9.523803801412022,True,-1.33587588352159,255.92565235912278,248.88100898211184,71.19368348990228,177.22026261742673,248.12657912752445,0.0009591397624822524,108073.17101881618,0.11023282692283269,0.6020778601944093,9.743918540239502e-18,,,,,,,,,,,,,,,,,,
1,9,5.89553801969404,53,-7.706178744391449,78,-8.518704346011809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,50,0.6694272278919122,70,2.6713280528362624,71,9.05590751761391,True,-1.1130592504844297,258.6885538271226,251.3222611851424,74.27737210912912,174.82642326547747,250.7245255781742,0.0007954090261323393,190961.11275895586,0.09764069956592542,0.5999144754314429,2.5231568623100163e-19,,,,,,,,,,,,,,,,,,
3,12,-0.3257662806286703,45,-4.7797719974928965,60,6.183384066844578,True,-0.5729124900365179,267.97861489219514,257.4306233599833,90.98500615843004,161.11375461882253,257.1287484603925,0.0003955533775297054,437714.3266965748,0.06849714629868564,0.593359292373706,2.3597583025480804e-22,,,,,,,,,,,,,,,,,,
4,26,1.614279425906508,92,3.932988384339385,94,-8.586326424910363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,-0.13030692515148345,29,-0.34544268667880473,90,3.681860472949852,True,-1.1248433755133982,258.199568422657,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,27,-4.834472225188831,67,7.712034323249046,70,9.751135397377897,True,-1.0058546199986598,261.3821756092618,252.16688664757706,76.20919396520615,172.9055163791237,251.5981612069588,0.0007220769511296074,191022.8504633935,0.09507705259295605,0.5988701969933349,1.7682718662194472e-19,,,,,,,,,,,,,,,,,,
7,6,0.6011630031312656,84,-3.983633311620263,89,-5.941065180614018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,46,0.8958358899934211,48,2.9841502223144545,73,7.450646875953069,True,-1.4383237796138664,259.35935935935936,250.80190957832855,69.36013730630062,368.3,248.32797253873989,0.0010442032916961528,214299.689410173,0.2012094892503388,0.6031255188208577,1.3922312310226247e-18,,,,,,,,,,,,,,,,,,
9,45,-2.1012142721630322,58,3.13927377545901,99,6.90426383227701,True,-1.3473071826996608,256.5314991214095,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,21,-4.262631315828633,44,-5.486580799662876,88,6.3112264613027875,True,-0.7184279604077076,263.30212996879663,254.34372196591744,84.71678629766369,164.75007177859823,253.91664274046727,0.0005062358143461407,202622.03931729612,0.08202802349181143,0.5954267322200392,3.303332556217332e-20,,,,,,,,,,,,,,,,,,
11,17,-6.29312244704326,40,6.749721172039429,93,-9.000038394667946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2,7.5966006720790915,38,-8.686538934057008,84,-9.01251360642382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,2.164106412113167,15,-3.505953332326632,52,-6.290662526874479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4,-0.7119651719010971,18,-8.713075205943266,76,-9.329900264109225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,34,-1.2421362951564259,63,-3.7493230849908077,88,4.9747279902637676,True,-0.5742234263585714,266.5512576674927,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,-4.581825155185022,45,-8.712564976315967,89,-8.854409413135878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,20,6.231407620986921,62,6.608873819072606,96,-7.470557879677344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,9,3.369502057928857,66,-9.333262045880204,66,9.581763240351687,True,-3.8497226185137223,139.05568025938393,,,,,,,,,,136.5854839675263,75.3,220.2,113.484396248985,0.004238212139639709,1799.64058197793,1.0,0.6280125085287498,0.00010828625297516537,118.13523693992556,222.1,269.2,92.86215686853521,0.0005948128053577265,8349.481065501946,1.0,0.5969174556931223,6.690015586561185e-10
19,4,0.5266258229981489,52,1.674372514458227,79,-6.830132342454109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
