,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1
0,26,-1.6812351019385279,63,2.436864399460358,83,-9.102326322436218,,,,,,,,,,,,,,,,,,,,,
1,23,1.1280754282002814,27,4.2739093746236385,33,-4.4988058427338355,,,,,,,,,,,,,,,,,,,,,
2,3,1.3757252647040907,45,-3.3845162671331437,78,5.598749919161532,True,-0.7635145893921994,262.7359228182274,,,,,,,,,,,,,,,,,,
3,16,0.8870878107073903,35,4.797676923851494,55,-7.647968581570144,,,,,,,,,,,,,,,,,,,,,
4,79,-2.8001323554715025,92,4.672269059137797,99,-7.113759484769444,,,,,,,,,,,,,,,,,,,,,
5,50,-0.7697822393407261,50,-7.5582535848366605,81,9.848879912860891,True,-0.6176912038734017,265.3227431005208,255.96350721121468,88.82267096891027,161.9381367751282,255.61546580621797,0.00042963281535245655,299327.8533998733,0.0737558060382337,0.5940245121990535,2.3325621781190836e-21,,,,,,,,,
6,3,-3.3889613290551672,19,3.7065340992500104,55,-5.957551911596239,,,,,,,,,,,,,,,,,,,,,
7,30,-0.009924351980590274,33,5.374851078940971,58,9.370504556815991,True,-1.4433823308339002,259.197463695106,220.21101560816092,417.79478041079426,478.4649268035981,219.53507319640192,0.0001037198426978615,113382.47024257328,0.110728080395962,0.5856056182658498,1.0617951278978828e-20,253.6448636662636,69.22796836857889,388.2,248.97440632628422,0.0010740017174045108,45290.26305620978,0.27753056872079035,0.6034818714268604,7.236345235679989e-15
8,29,0.35057619268471285,39,-0.7654323279657671,43,9.345469682597574,True,-1.0394050816399516,261.34319280386705,252.66294749684087,75.27308216143877,175.62384929686326,252.02538356771225,0.0007564129695696222,141922.01661271037,0.1006345994845306,0.5993657123220074,9.843148111604842e-19,,,,,,,,,
9,17,-1.2810860523707674,67,-4.700160889188163,68,6.945677157718805,True,-1.0215222350127546,263.2225125078975,,,,,,,,,,,,,,,,,,
10,33,0.7329461816686038,67,-1.0710424692213731,95,-5.35476957707769,,,,,,,,,,,,,,,,,,,,,
11,39,-6.717239888556239,56,-7.591296130893879,61,7.727904563093318,True,0.5394012608460197,314.56698154804747,,,,,,,,,,,,,,,,,,
12,5,-0.6528505239102351,54,-3.26525037799684,84,8.90281503268482,True,-0.8836412032083956,260.87243530367994,,,,,,,,,,,,,,,,,,
13,75,-3.0295749115283392,80,8.639755358193835,85,-8.874848901462805,,,,,,,,,,,,,,,,,,,,,
14,4,3.5193354254935656,40,-8.821001899753648,59,9.989301716938034,True,-0.5242759690116036,269.1030986836727,258.042081259304,92.11063898693594,160.42638339216157,257.7578722026128,0.0003742981041333724,468865.17231275595,0.06636800376851422,0.5929293548137267,1.328280026567173e-22,,,,,,,,,
15,30,-5.054465454201065,40,5.562201518201729,62,8.836684312386495,True,-1.1811545639976653,258.4355638770243,,,,,,,,,,,,,,,,,,
16,10,-0.17097976319767128,14,5.1602782181958045,53,-9.659238804189531,,,,,,,,,,,,,,,,,,,,,
17,26,-1.6991334103714113,29,-3.1478361538947075,94,5.479009962016422,True,-1.0292681773627923,259.04079662653055,,,,,,,,,,,,,,,,,,
18,26,0.21278288149763824,37,-3.5290751761489547,95,5.773163337538643,True,-0.9892787923098587,259.0310948304639,,,,,,,,,,,,,,,,,,
19,36,-1.9713273532867515,67,6.002047222690937,76,9.090521882848183,True,-1.0823651134799799,261.26929755703037,251.24864962514812,73.91538437879089,174.72923062727452,250.65692312424184,0.0007903198647154345,199280.22395306895,0.09717725138529602,0.5998436672772881,1.985939286295522e-19,,,,,,,,,
