,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1,Tc_2,phi_false_2,phi_true_2,Tn_2,alpha_2,beta_2,vw_2,vJ_2,SNR_2
0,27,-5.890762785293497,66,-2.543265199696605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,5.697760425818402,41,3.552815901652666,True,-1.2336803436237902,258.2958921857407,250.61976324235863,67.24800176900031,185.64880106140018,249.75039964619995,0.0010117366955178992,107272.721083829,0.11805471193948149,0.602731130417659,1.3299321925125447e-17,,,,,,,,,,,,,,,,,,
2,17,-9.735035846765271,28,2.669897379983528,True,0.4009776860586593,303.22947285910254,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,9.313963584774825,77,5.6509372100879,True,-1.093568938199673,258.86016933348253,251.29012003850846,75.14332635383444,173.55466108306754,250.71133472923313,0.0007709176174575666,193709.80319656146,0.09609684555699072,0.5995715097148754,2.074790272724317e-19,,,,,,,,,,,,,,,,,,
4,10,-8.178670856014278,78,-4.700264755933032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,39,-7.514932358467132,70,-6.540204561038134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28,-6.293208913169657,72,1.6300846652004637,True,-0.3894469796068922,269.6948635878676,259.03623309297234,94.81070806520397,157.84856645216317,258.8378583869592,0.00032078007601456417,1333469.4374290647,0.05533641962848928,0.5917876800549253,3.2496504553801045e-25,,,,,,,,,,,,,,,,,,
7,21,5.025231207317393,96,-0.08050751894207941,True,-3.240263992387736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,15,6.172896028328925,37,-4.166750984966714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14,-2.7368339924252583,67,-0.13321771058110343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,89,-4.372794689023269,89,-2.132277079007256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,22,-4.399772190072446,96,3.866704594848942,True,-1.0907885678220244,258.4212011794066,250.43111677953425,76.27185837133145,171.38311502279888,249.80562832573372,0.0007518560766041136,126516.90310392855,0.10007733751760249,0.599300633845273,1.7344032594775355e-18,,,,,,,,,,,,,,,,,,
12,25,-5.346831756005452,80,0.1904531622833776,True,0.31771814133131043,297.82786524206847,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3,6.46486092315962,13,2.9326336615802546,True,-0.02592479933267415,167.2316079720493,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,63,6.53611949983236,89,3.4817140113108564,True,-1.9040555464393165,258.1718782854224,248.85656506980825,62.650917078297745,320.9,245.48727073042556,0.0016005450970140059,47941.84587726692,0.23473145423792743,0.6090800236213113,1.2640939291665437e-14,,,,,,,,,,,,,,,,,,
15,18,-1.007604668710636,79,-0.6040485675982055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,9.172172125857326,36,-9.047973455037834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,28,-3.3920284222018315,31,-2.073181738488823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,16,8.369905222264336,94,1.0783004803357255,True,1.3891716286910873,140.7816250519697,,,,,,,,,,127.30451248216677,75.93862093510818,173.5,124.56137906489184,0.0018206737895558166,1345847.8107680809,0.28751680860844236,0.6111245335257883,1.4018951252476555e-20,119.19980871148638,175.55114533127372,223.9,101.7488546687263,0.000689268023763552,5517.056326139377,1.0,0.5983851314529659,4.639126176494475e-09
19,71,-3.4611875428531524,73,-0.2589506831369057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
