,n1,a1,n2,a2,EWSB,chh,Tres,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,22,6.633517733033763,74,4.039571717629384,True,-2.3063768895973964,195.62685846838846,116.6745298337738,322.4942997411024,358.0942997411024,116.10570025889763,0.0006115553455069806,80558.85479265208,0.1390955595201884,0.5971859866781879,1.6227626043661985e-16,,,,,,,,,
1,74,5.8167020938287255,75,5.781940093881088,True,-1.084975810346271,258.64830179129837,,,,,,,,,,251.47461073714143,75.2422462717211,173.8066847037908,250.86443843206973,0.0007682727367778469,167776.83527064323,0.09865267563700866,0.5995341344736236,4.395222434161696e-19
2,40,-5.163184144631647,49,3.37207615400345,True,0.2184778790838494,294.1681908245694,,,,,,,,,,,,,,,,,,
3,51,7.558491245595842,72,5.003617788092868,True,-1.7421555163459823,255.66724018231767,,,,,,,,,,250.0315397165909,63.25727929655767,329.3356801758606,246.5356801758606,0.0014401931977197928,49769.26429294162,0.23912030228754502,0.6074947557129959,7.866876659279945e-15
4,64,-9.595581531181562,96,-0.14554279752659127,,,,,,,,,,,,,,,,,,,,,
5,55,3.4273298046288243,82,0.22883701128604983,True,-1.2838717191599123,248.57005813864663,,,,,,,,,,245.48556397708884,44.296374382782105,208.94182125222346,243.92908937388827,0.0016545093520822292,55043.34334739834,0.15997157760631578,0.60959441230414,3.153838665430126e-15
6,41,3.384320675729356,47,-1.7815238850595332,True,-0.44140750812455015,,,,,,,,,,,,,,,,,,,
7,56,-8.610977861922064,57,1.1129427292251535,,,,,,,,,,,,,,,,,,,,,
8,48,-5.132676816857953,74,4.953648883873523,True,-0.4838617774041962,268.72917438572756,,,,,,,,,,258.0402084118415,93.91126663829375,158.749013310635,257.73774667234125,0.0003472230082662416,322332.2903962623,0.06845886556607489,0.5923630814172102,7.171654459276302e-22
9,12,7.210279662578735,37,-5.441547750118579,,,,,,,,,,,,,,,,,,,,,
10,52,-3.5234288020442754,78,-2.447713905775961,,,,,,,,,,,,,,,,,,,,,
11,21,-2.992136710522315,80,-2.113870364082267,,,,,,,,,,,,,,,,,,,,,
12,38,-4.404182715931688,58,-1.085103835426544,,,,,,,,,,,,,,,,,,,,,
13,21,6.881198548763187,43,3.625865233512444,True,-0.1865100025851483,189.7483405821128,,,,,,,,,,168.85290834781898,43.7,190.6,163.83130284200934,0.004422705020045401,14408.350138231863,0.33976398847916456,0.6290477931429267,8.899062955020802e-10
14,3,2.778642123664328,60,1.7414778363449113,True,-1.0528706581248084,262.89935066523776,,,,,,,,,,252.1841864541161,75.23018343717045,174.61811006230226,251.59396331256593,0.000757355975634336,180462.2077168352,0.09687995741453025,0.5993791541825441,2.807991941271482e-19
15,37,3.5628649166340125,62,2.9579023062131053,True,-2.0738829298914636,257.94736421086304,255.6702165660153,61.757482140353616,354.9,248.1856294649116,0.001652424441713405,17604.821065040534,0.34764750626319696,0.6095747068288507,5.491080061197517e-12,181.87899905745905,390.66898113070135,429.1844905653507,181.51550943464932,0.00011922840722227342,160591.9244811283,0.08935567141862936,0.5861966450662567,3.6487210963296616e-21
16,36,8.744982273038314,40,-7.4113922198241085,True,-0.29905676843189744,,,,,,,,,,,,,,,,,,,
17,2,7.836644182647081,73,-1.5923320475546827,,,,,,,,,,,,,,,,,,,,,
18,15,5.073111218019799,61,2.414084656827251,True,-1.6036038670471628,193.74868717214866,,,,,,,,,,,,,,,,,,
19,16,-6.6143151098153785,65,-6.061126541013366,,,,,,,,,,,,,,,,,,,,,
