,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_2,phi_false_2,phi_true_2,Tn_2,alpha_2,beta_2,vw_2,vJ_2,SNR_2,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1,Tc_4,phi_false_4,phi_true_4,Tn_4,alpha_4,beta_4,vw_4,vJ_4,SNR_4,Tc_3,phi_false_3,phi_true_3,Tn_3,alpha_3,beta_3,vw_3,vJ_3,SNR_3
3,3,0.8864129986483821,19,0.013906961208197371,True,-0.3804754505648988,157.26377058134346,156.82284678399878,17.0,219.3,143.45083723624373,0.010108622270663012,3914.162620642395,0.5485641521959349,0.6534566670421172,8.784917421138477e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,10,2.285374749498777,50,0.09133500899070024,True,1.2560631638356492,158.64824282769126,158.63387555332451,20.1,219.2,148.4705106557761,0.009031167538479408,11402.895105710546,0.4839143586322613,0.6496010907586799,1.316347974479723e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,1.1599155203606966,15,0.07672290543504384,True,-2.671611166184602,163.22466455064125,154.21399663765197,25.905188753113734,202.8,144.09481124688625,0.00833401437465453,6370.912420288916,0.4896730999982553,0.6469606572314837,2.0256232211914777e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,0.5885905888077784,47,0.0319072542452886,True,-1.7510180595739395,171.6712963876483,163.55517241235066,25.79674656022705,204.6,154.20325343977296,0.00822685207802532,6802.6366956977845,0.4595115935696952,0.6465446574226928,8.121243849461897e-07,,,,,,,,,,147.32466214034616,207.2,280.0,133.80698566197114,0.00028071629910348696,5867.402869416506,0.5559713135801648,0.5908673486819558,1.1717365875404885e-09,,,,,,,,,,,,,,,,,,
11,13,1.3040004805959426,45,0.12300011924693098,True,0.9554686586868424,183.2389871867066,163.6014807573526,28.0,211.1,155.56909210584817,0.007892798480161462,8409.700109147047,0.4289077439039957,0.645224243501949,1.8220637403030177e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11,1.5613789508611982,40,0.2371950980695653,True,-0.10821327496188078,183.41935159310813,153.88054304271571,27.97506715479907,207.7,147.1249328452009,0.007527799105502053,13500.62673681766,0.40731010523941225,0.6437447296273792,1.514652248950743e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,8,1.1827538432714426,34,0.16366336055826386,True,-2.2323387860156845,188.8547954151481,152.03121936811854,27.2,203.7,145.04525623176795,0.0075231131655834815,19901.942215563467,0.4161453633610599,0.6437254670978105,2.569280161059885e-09,,,,,,,,,,143.37136421516146,207.4,282.38655862150136,119.9865586215014,0.0004955934656620903,2693.826978772,1.0,0.5952388162887261,1.3274148061430396e-08,,,,,,,,,,,,,,,,,,
11,17,2.9823072491413503,63,0.5014749395302254,True,-1.0107015531277697,187.07824838478112,151.94445062573527,27.603396440740205,205.8,145.99660355925982,0.00734753894082763,20519.15769437709,0.3855806975006835,0.6429987151267048,1.505487149144233e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,13,0.8437775009449071,49,0.14230120266969196,True,-0.9770899238852356,186.07400313519025,151.52453915772702,27.6,205.8,146.17150778298569,0.007224539626039438,33752.01865417491,0.3674796735331482,0.6424835225622794,1.0314304719680692e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6,0.7787094781339968,25,0.14528147229073998,True,-1.1614113154818868,180.7182610902631,147.49936486049413,27.6,205.4,142.71579407309662,0.007061817379736531,48265.20718089277,0.3528375843414448,0.6417944611685021,1.5356286817511828e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4,0.3668567753944695,16,0.09321545077959896,True,0.33481432285771384,173.74757677787983,142.87929176159412,28.5,207.6,138.21778919313965,0.006958253920930972,-805.1800338742447,0.3539215185576663,0.6413511029826865,0.004126612606057145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
