,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1,Tc_2,phi_false_2,phi_true_2,Tn_2,alpha_2,beta_2,vw_2,vJ_2,SNR_2,Tc_3,phi_false_3,phi_true_3,Tn_3,alpha_3,beta_3,vw_3,vJ_3,SNR_3,Tc_4,phi_false_4,phi_true_4,Tn_4,alpha_4,beta_4,vw_4,vJ_4,SNR_4,f,epsilon
18,7,4.640737885982282,79,0.012185778819615287,True,0.6348694416434552,163.4982922752707,161.84915038203948,10.2,232.0,146.6247992992584,0.01126120426148392,1905.269366567711,0.5724971525176962,0.6573224183226248,0.004641803781942339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.5506867233486,3.2615919040503814e-05
1,5,1.1235779688201857,44,0.002911564906060887,True,0.03688357387610227,168.6381709741551,168.43640902532815,10.5,228.9,155.17154852979968,0.010541161363438335,4761.2253570045,0.5287500575698452,0.6549291808720904,2.204743048713576e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.91451292246524,0.0008459714340427716
2,6,1.8230911826729947,43,0.022691701323510748,True,-1.480101377038649,160.2518883574109,158.25412742282538,15.4,221.1,144.71246876510597,0.010373153037812706,3905.566689682748,0.5495491813352179,0.6543659964946721,9.432586397528101e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.8633135236991,0.0001396004118565736
4,9,1.754968724881853,72,0.009241814094386036,True,1.2181515124274744,168.5431700357074,165.8808699355521,12.8,228.7,153.01217423047422,0.010352720255874,4209.168535032018,0.5260270190351337,0.6542962479700709,3.706722937121531e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.5711980637353,2.6477814640703796e-05
15,9,4.736958798213052,76,0.051184565477603285,True,-5.089583634351684,157.4173030594626,157.14087049756947,13.6,222.7,144.35052424428258,0.010199004595295488,3744.6143371381786,0.5378941551332242,0.6537689144965271,8.782479929268392e-05,130.21440758280232,223.63462462369046,262.8,107.96537537630951,0.0003266767869863482,2042.4446033958081,1.0,0.5919180429068871,8.339638905960627e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.36484245439465,6.029991359503655e-06
15,5,0.6221806867604044,48,0.010102341995859096,True,-9.893991628369797,157.85098656866606,155.22408175512913,13.9,220.9,141.85182017244983,0.010087992625463121,3687.302841416061,0.553062447149329,0.6533851673184484,0.0001302469143933326,153.72020700854438,221.2,261.3,129.37716434986686,0.0003074103926517819,2078.6057697551396,1.0,0.5914874742033094,4.440439836851911e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.13951962199764,0.0006109427276724972
10,6,1.8903162607267925,82,0.0010874044136401466,True,-5.83064435210805,185.55217538268383,184.71132844540696,7.8,225.6,174.17632231490146,0.009829142234013521,16064.866045069855,0.4574109771234014,0.6524803448872528,1.4246185057611781e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.65652614805157,0.0003132756671826464
3,3,3.171510923923331,19,0.07053781035025568,True,-0.3765623213228729,153.25129282583268,152.90657985554566,18.1,216.9,140.53069945929812,0.009788310619101294,4466.146380147353,0.5371114693401551,0.6523343118569587,3.716900878219466e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.8338679723113,0.0015944716437209761
0,14,1.2800066259899952,97,0.034743553926841864,True,-6.659607252743977,156.5790862087158,156.0126926039134,16.4,217.2,144.17945858615053,0.009556596232735498,6693.797286766844,0.5218591532954265,0.6515130307091714,3.735261564784575e-06,140.61515129575614,218.0,265.5,121.53709784346115,0.00037730636172704057,7498.446907451906,1.0,0.5929909439296012,1.0453985920266351e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.1664564943253,1.5194338858477294e-06
25,13,2.1255733054632144,90,0.021623519611863533,True,-7.727544557955649,176.26327624937267,176.03554299704209,15.3,214.1,164.4747299449626,0.00954421116697559,5606.52732371141,0.4883709603131111,0.6514686714493401,3.6744802072908936e-06,173.5687498669176,214.3,261.7,156.96887745028803,0.0002402297150737624,3459.656607868513,0.5577016417894634,0.5898660084672597,5.263851725427515e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,710.9442679757435,3.2338148767443806e-06
6,13,2.064701479550123,81,0.0395702159537546,True,2.3291216800889307,160.06896762183771,160.03675701380794,16.3,225.3,149.18864886898018,0.009539992427559664,3598.532951308603,0.4958322920330207,0.6514535645116329,4.1593778172407235e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676.1878604778907,2.476326529971069e-06
26,8,3.578575992989549,43,0.05372026306365103,True,-0.8156399826129721,169.480122324159,165.8713909934169,17.4,218.4,154.46381695367103,0.009484673310182832,5198.712146884652,0.4991843936897728,0.6512550026059245,7.097173659176137e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.743119266055,2.1727477441736226e-05
8,6,1.9410523584468025,34,0.06910085871185018,True,-1.4094188831723629,154.20385461130508,154.10128409733068,19.6,215.1,142.55000162848853,0.009398172147923666,4898.18274397563,0.5192490086407571,0.650943155630384,1.5376478366430462e-05,104.9809454466212,219.6,271.1954772636906,94.39547726369058,0.00030589059755272097,7367.912833580089,0.5796846512084445,0.5914529020707096,2.0881826811453e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.2654249126891,9.722576845392566e-05
