,n,f,chhh
0,6,355.36469110851857,-0.834650310382549
1,7,403.8346372805637,-0.8729382760688816
2,8,452.181896000795,-0.8991927034540308
3,9,500.44530367039107,-0.9180154193188813
4,10,548.6499087544742,-0.9319704782647058
5,11,596.8091865059181,-0.9426303288375425
6,12,644.934450842231,-0.9509559023178519
7,13,693.0331144653118,-0.9575844134218625
8,14,741.1105639382471,-0.9629502618979426
9,15,789.1708124311938,-0.9673549202140941
10,16,837.2169139672457,-0.971016726337259
11,17,885.2512354740202,-0.9740935332445667
12,18,933.2756407540766,-0.976704161727602
13,19,981.2916180802547,-0.9789386627653033
14,20,1029.3003706696697,-0.9808653903064265
15,21,1077.302882099745,-0.9825392121447674
16,22,1125.2999644334639,-0.9840026675499925
17,23,1173.2922941788531,-0.9852888686714958
18,24,1221.2804395361204,-0.9864262043294978
19,25,1269.2648813066908,-0.9874361224437491
20,26,1317.2460291246412,-0.9883375505225696
21,27,1365.2242341907129,-0.9891451860814522
22,28,1413.1997993603238,-0.9898718216737619
23,29,1461.1729872051444,-0.9905276024439582
24,30,1509.1440265112415,-0.9911218138612842
25,31,1557.1131175554965,-0.9916618950470742
26,32,1605.0804364212113,-0.9921539809562833
27,33,1653.04613855137,-0.9926043091187496
28,34,1701.0103616923195,-0.993016284043712
29,35,1748.9732283465032,-0.9933952005489817
30,36,1796.9348478289005,-0.9937441407655908
31,37,1844.895317996575,-0.9940658156011827
32,38,1892.8547267149415,-0.9943633951081184
33,39,1940.8131531022764,-0.9946393948133103
34,40,1988.7706685937362,-0.9948955291826732
35,41,2036.7273378526622,-0.9951335615273048
36,42,2084.683219556198,-0.9953557484946488
37,43,2132.638367072017,-0.9955624417700208
38,44,2180.592829047632,-0.9957562789932902
39,45,2228.5466499200024,-0.9959368596339582
40,46,2276.4998703635815,-0.9961072804766119
41,47,2324.452527679177,-0.9962668625732108
42,48,2372.4046561372993,-0.9964164997905997
43,49,2420.356287281643,-0.9965576672532976
44,50,2468.307450192075,-0.9966904235755242
45,51,2516.258171724812,-0.9968155649337582
46,52,2564.2084767167894,-0.9969340438090637
47,53,2612.158388176094,-0.9970463242306767
48,54,2660.1079274447197,-0.9971517125970022
49,55,2708.057114347555,-0.997252226214088
50,56,2756.005967325747,-0.9973474157062531
51,57,2803.9545035542806,-0.9974377841788794
52,58,2851.902739049246,-0.9975230874060536
53,59,2899.850688764235,-0.9976046979374108
